,count,titlePaper,citationChicago,citations,link,publishedYear,publishedMonth,locationStudy,"gpsLat, gpsLong",gpsLat,gpsLong,monthsLapsed,radius,red,green,blue
83,53,Three-dimensional Bioprinting of Thick Vascularized Tissues,"Kolesky, David B., Kimberly A. Homan, Mark A. Skylar-Scott, and Jennifer A. Lewis. ""Three-dimensional bioprinting of thick vascularized tissues."" Proceedings of the national academy of sciences 113, no. 12 (2016): 3179-3184.",944.0,https://pubmed.ncbi.nlm.nih.gov/26951646/,2016.0,3.0,"Wyss Institute for Biologically Inspired Engineering, Harvard University, Cambridge","42.339694322146094, -71.10301258865704",42.33969432,-71.10301259,66,1866.3636363636363,0.0,0.0,0.0
131,85,Mesenchymal Stromal Cell Exosomes Ameliorate Experimental Bronchopulmonary Dysplasia and Restore Lung Function through Macrophage Immunomodulation,"Willis, Gareth R., Angeles Fernandez-Gonzalez, Jamie Anastas, Sally H. Vitali, Xianlan Liu, Maria Ericsson, April Kwong, S. Alex Mitsialis, and Stella Kourembanas. ""Mesenchymal stromal cell exosomes ameliorate experimental bronchopulmonary dysplasia and restore lung function through macrophage immunomodulation."" American journal of respiratory and critical care medicine 197, no. 1 (2018): 104-116.",285.0,https://pubmed.ncbi.nlm.nih.gov/28853608/,2018.0,1.0,"Harvard Medical School, Boston, Massachusetts","42.336078995187044, -71.1013891363389",42.336079,-71.10138914,44,135.0,0.0,0.0,0.0
356,179,Morphological Features of IFN-γ-stimulated Mesenchymal Stromal Cells Predict Overall Immunosuppressive Capacity,"Klinker, Matthew W., Ross A. Marklein, Jessica L. Lo Surdo, Cheng-Hong Wei, and Steven R. Bauer. ""Morphological features of IFN-γ–stimulated mesenchymal stromal cells predict overall immunosuppressive capacity."" Proceedings of the National Academy of Sciences 114, no. 13 (2017): E2598-E2607.",104.0,https://pubmed.ncbi.nlm.nih.gov/28283659/,2017.0,3.0,"US Food and Drug Administration, Silver Spring, MD","39.03589836414965, -76.98208346701595",39.03589836,-76.98208347,54,141.11111111111111,1.0,1.0,1.0
112,73,Extracellular Vesicles as Emerging Targets in Cancer: Recent Development From Bench to Bedside,"Wu, Kerui, Fei Xing, Shih-Ying Wu, and Kounosuke Watabe. ""Extracellular vesicles as emerging targets in cancer: Recent development from bench to bedside."" Biochimica et Biophysica Acta (BBA)-Reviews on Cancer 1868, no. 2 (2017): 538-563.",89.0,https://pubmed.ncbi.nlm.nih.gov/29054476/,2017.0,12.0,"Wake Forest University School of Medicine, Winston Salem, NC","36.10086540518672, -80.23891346846821",36.10086541,-80.23891347,45,55.0,0.096,0.096,0.096
349,173,In Vivo Chondrogenesis in 3D Bioprinted Human Cell-laden Hydrogel Constructs,"Möller, Thomas, Matteo Amoroso, Daniel Hägg, Camilla Brantsing, Nicole Rotter, Peter Apelgren, Anders Lindahl, Lars Kölby, and Paul Gatenholm. ""In vivo chondrogenesis in 3D bioprinted human cell-laden hydrogel constructs."" Plastic and reconstructive surgery global open 5, no. 2 (2017).",82.0,https://pubmed.ncbi.nlm.nih.gov/28280669/,2017.0,2.0,"Chalmers University of Technology, Göteborg, Sweden","57.69000654408466, 11.975835373930986",57.69000654,11.97583537,55,118.18181818181819,0.0,0.0,0.0
5,4,Stem cell-inspired secretome-rich injectable hydrogel to repair injured cardiac tissue,0,82.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5831493/,2017.0,12.0,"University of Kansas, Lawrence, KS","38.95441062542247, -95.25538840652833",38.95441063,-95.25538841,45,51.111111111111114,0.0,0.0,0.0
6,4,Stem cell-inspired secretome-rich injectable hydrogel to repair injured cardiac tissue,0,82.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5831493/,2017.0,12.0,"University of Cincinnati, Cincinnati, OH","39.133030067758874, -84.51478946974734",39.13303007,-84.51478947,45,51.111111111111114,0.0,0.0,0.0
13,10,Self-Healing and Thermoresponsive Dual-Cross-Linked Alginate Hydrogels Based on Supramolecular Inclusion Complexes,"Miao, Tianxin, Spencer L. Fenn, Patrick N. Charron, and Rachael A. Oldinski. ""Self-healing and thermoresponsive dual-cross-linked alginate hydrogels based on supramolecular inclusion complexes."" Biomacromolecules 16, no. 12 (2015): 3740-3750.",79.0,https://pubmed.ncbi.nlm.nih.gov/26509214/,2015.0,10.0,"University of Vermont, Burlington, Vermont","44.47801353909452, -73.19652807512038",44.47801354,-73.19652808,71,179.64788732394368,0.8432,0.8432,0.8432
372,189,Development and Characterization of a Naturally Derived Lung Extracellular Matrix Hydrogel,"Pouliot, Robert A., Patrick A. Link, Nabil S. Mikhaiel, Matthew B. Schneck, Michael S. Valentine, Franck J. Kamga Gninzeko, Joseph A. Herbert, Masahiro Sakagami, and Rebecca L. Heise. ""Development and characterization of a naturally derived lung extracellular matrix hydrogel."" Journal of biomedical materials research Part A 104, no. 8 (2016): 1922-1935.",78.0,https://pubmed.ncbi.nlm.nih.gov/27012815/,2016.0,4.0,"Virginia Commonwealth University, Richmond, Virginia","37.54837992835051, -77.45675749334877",37.54837993,-77.45675749,65,156.9230769230769,0.9932,0.9932,0.9932
347,171,Substrate Stress-Relaxation Regulates Scaffold Remodeling and Bone Formation In Vivo,"Darnell, Max, Simon Young, Luo Gu, Nisarg Shah, Evi Lippens, James Weaver, Georg Duda, and David Mooney. ""Substrate stress‐relaxation regulates scaffold remodeling and bone formation in vivo."" Advanced healthcare materials 6, no. 1 (2017): 1601185.",78.0,https://pubmed.ncbi.nlm.nih.gov/27995768/,2017.0,1.0,"Berlin-Brandenburg Center for Regenerative Therapies, 13353, Berlin, Germany","52.54027297493494, 13.348358954170456",52.54027297,13.34835895,56,117.85714285714286,0.8632,0.8632,0.8632
346,171,Substrate Stress-Relaxation Regulates Scaffold Remodeling and Bone Formation In Vivo,"Darnell, Max, Simon Young, Luo Gu, Nisarg Shah, Evi Lippens, James Weaver, Georg Duda, and David Mooney. ""Substrate stress‐relaxation regulates scaffold remodeling and bone formation in vivo."" Advanced healthcare materials 6, no. 1 (2017): 1601185.",78.0,https://pubmed.ncbi.nlm.nih.gov/27995768/,2017.0,1.0,"Harvard University, Cambridge, MA","42.37766832129075, -71.11249734540112",42.37766832,-71.11249735,56,117.85714285714286,0.8792,0.8792,0.8792
120,80,Chondrocytes and stem cells in 3D-bioprinted structures create human cartilage in vivo,"Apelgren, Peter, Matteo Amoroso, Anders Lindahl, Camilla Brantsing, Nicole Rotter, Paul Gatenholm, and Lars Kölby. ""Chondrocytes and stem cells in 3D-bioprinted structures create human cartilage in vivo."" PLoS One 12, no. 12 (2017): e0189428.",71.0,https://pubmed.ncbi.nlm.nih.gov/29236765/,2017.0,12.0,"University Medical Centre Ulm, Ulm, Germany","48.428436448531045, 9.971446801598733",48.42843645,9.971446802,45,45.0,0.0,0.0,0.0
119,80,Chondrocytes and stem cells in 3D-bioprinted structures create human cartilage in vivo,"Apelgren, Peter, Matteo Amoroso, Anders Lindahl, Camilla Brantsing, Nicole Rotter, Paul Gatenholm, and Lars Kölby. ""Chondrocytes and stem cells in 3D-bioprinted structures create human cartilage in vivo."" PLoS One 12, no. 12 (2017): e0189428.",71.0,https://pubmed.ncbi.nlm.nih.gov/29236765/,2017.0,12.0,"Sahlgrenska University Hospital, Sahlgrenska Academy, Göteborg, Sweden","57.686145708675134, 11.975582793895201",57.68614571,11.97558279,45,45.0,0.0,0.0,0.0
121,80,Chondrocytes and stem cells in 3D-bioprinted structures create human cartilage in vivo,"Apelgren, Peter, Matteo Amoroso, Anders Lindahl, Camilla Brantsing, Nicole Rotter, Paul Gatenholm, and Lars Kölby. ""Chondrocytes and stem cells in 3D-bioprinted structures create human cartilage in vivo."" PLoS One 12, no. 12 (2017): e0189428.",71.0,https://pubmed.ncbi.nlm.nih.gov/29236765/,2017.0,12.0,"Chalmers University of Technology, Göteborg, Sweden","57.69035061459002, 11.975878289321795",57.69035061,11.97587829,45,45.0,0.0,0.0,0.0
374,190,Enhanced Immunosuppression of T Cells by Sustained Presentation of Bioactive Interferon-γ Within Three-dimensional Mesenchymal Stem Cell Constructs,"Zimmermann, Joshua A., Marian H. Hettiaratchi, and Todd C. McDevitt. ""Enhanced immunosuppression of T cells by sustained presentation of bioactive interferon‐γ within three‐dimensional mesenchymal stem cell constructs."" Stem cells translational medicine 6, no. 1 (2017): 223-237.",67.0,https://pubmed.ncbi.nlm.nih.gov/28170190/,2017.0,1.0,"Gladstone Institute of Cardiovascular Disease, San Francisco, California, USA","37.76859569115785, -122.39278253751102",37.76859569,-122.3927825,56,102.14285714285714,0.8952,0.8952,0.8952
373,190,Enhanced Immunosuppression of T Cells by Sustained Presentation of Bioactive Interferon-γ Within Three-dimensional Mesenchymal Stem Cell Constructs,"Zimmermann, Joshua A., Marian H. Hettiaratchi, and Todd C. McDevitt. ""Enhanced immunosuppression of T cells by sustained presentation of bioactive interferon‐γ within three‐dimensional mesenchymal stem cell constructs."" Stem cells translational medicine 6, no. 1 (2017): 223-237.",67.0,https://pubmed.ncbi.nlm.nih.gov/28170190/,2017.0,1.0,"Georgia Institute of Technology, Atlanta, Georgia","33.77841125473837, -84.39839540751422",33.77841125,-84.39839541,56,102.14285714285714,1.0,1.0,1.0
100,66,Procoagulant activity of human mesenchymal stem cells,"Christy, Barbara A., Maryanne C. Herzig, Robbie K. Montgomery, Christopher Delavan, James A. Bynum, Kristin M. Reddoch, and Andrew P. Cap. ""Procoagulant activity of human mesenchymal stem cells."" Journal of Trauma and Acute Care Surgery 83, no. 1 (2017): S164-S169.",63.0,https://pubmed.ncbi.nlm.nih.gov/28628602/,2017.0,7.0,"University of Texas Health Science Center at San Antonio, San Antonio, Texas","29.50795064730581, -98.5709747745826",29.50795065,-98.57097477,50,69.0,0.0,0.0,0.0
352,175,Collagen Hydrogel Scaffold Promotes Mesenchymal Stem Cell and Endothelial Cell Coculture for Bone Tissue Engineering,"Nguyen, Bao‐Ngoc B., Rebecca A. Moriarty, Tim Kamalitdinov, Julie M. Etheridge, and John P. Fisher. ""C ollagen hydrogel scaffold promotes mesenchymal stem cell and endothelial cell coculture for bone tissue engineering."" Journal of Biomedical Materials Research Part A 105, no. 4 (2017): 1123-1131.",63.0,https://pubmed.ncbi.nlm.nih.gov/28093887/,2017.0,4.0,"University of Maryland, College Park, Maryland","38.98755176704997, -76.94379888012814",38.98755177,-76.94379888,53,83.49056603773585,0.072,0.072,0.072
149,95,Silk fibroin/collagen protein hybrid cell-encapsulating hydrogels with tunable gelation and improved physical and biological properties,"Buitrago, Jennifer O., Kapil D. Patel, Ahmed El-Fiqi, Jung-Hwan Lee, Banani Kundu, Hae-Hyoung Lee, and Hae-Won Kim. ""Silk fibroin/collagen protein hybrid cell-encapsulating hydrogels with tunable gelation and improved physical and biological properties."" Acta biomaterialia 69 (2018): 218-233.",58.0,https://www.sciencedirect.com/science/article/abs/pii/S1742706117307924,2018.0,3.0,"National Research Centre, Cairo, Egypt","30.036661758413892, 31.20671762837946",30.03666176,31.20671763,42,19.047619047619047,0.8932,0.8932,0.8932
148,95,Silk fibroin/collagen protein hybrid cell-encapsulating hydrogels with tunable gelation and improved physical and biological properties,"Buitrago, Jennifer O., Kapil D. Patel, Ahmed El-Fiqi, Jung-Hwan Lee, Banani Kundu, Hae-Hyoung Lee, and Hae-Won Kim. ""Silk fibroin/collagen protein hybrid cell-encapsulating hydrogels with tunable gelation and improved physical and biological properties."" Acta biomaterialia 69 (2018): 218-233.",58.0,https://www.sciencedirect.com/science/article/abs/pii/S1742706117307924,2018.0,3.0,"Dankook University, South Korea","37.32228063864897, 127.12696484060373",37.32228064,127.1269648,42,19.047619047619047,0.8412,0.8412,0.8412
70,43,A Prodrug-doped Cellular Trojan Horse for the Potential Treatment of Prostate Cancer,"Levy, Oren, W. Nathaniel Brennen, Edward Han, David Marc Rosen, Juliet Musabeyezu, Helia Safaee, Sudhir Ranganath et al. ""A prodrug-doped cellular Trojan Horse for the potential treatment of prostate cancer."" Biomaterials 91 (2016): 140-150.",55.0,https://www.sciencedirect.com/science/article/abs/pii/S0142961216300448,2016.0,6.0,The Samuel Oschin Comprehensive Cancer Institute at the Cedars-Sinai Medical Center,"34.07558055388596, -118.37956238861813",34.07558055,-118.3795624,63,107.22222222222221,0.9992,0.9992,0.9992
69,43,A Prodrug-doped Cellular Trojan Horse for the Potential Treatment of Prostate Cancer,"Levy, Oren, W. Nathaniel Brennen, Edward Han, David Marc Rosen, Juliet Musabeyezu, Helia Safaee, Sudhir Ranganath et al. ""A prodrug-doped cellular Trojan Horse for the potential treatment of prostate cancer."" Biomaterials 91 (2016): 140-150.",55.0,https://www.sciencedirect.com/science/article/abs/pii/S0142961216300448,2016.0,6.0,"The Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins, United States","39.318299905938495, -76.66145636195098",39.31829991,-76.66145636,63,107.22222222222221,0.9012,0.9012,0.9012
68,43,A Prodrug-doped Cellular Trojan Horse for the Potential Treatment of Prostate Cancer,"Levy, Oren, W. Nathaniel Brennen, Edward Han, David Marc Rosen, Juliet Musabeyezu, Helia Safaee, Sudhir Ranganath et al. ""A prodrug-doped cellular Trojan Horse for the potential treatment of prostate cancer."" Biomaterials 91 (2016): 140-150.",55.0,https://www.sciencedirect.com/science/article/abs/pii/S0142961216300448,2016.0,6.0,"Harvard Medical School, United States","42.335817589356644, -71.103953296818",42.33581759,-71.1039533,63,107.22222222222221,0.8512,0.8512,0.8512
67,43,A Prodrug-doped Cellular Trojan Horse for the Potential Treatment of Prostate Cancer,"Levy, Oren, W. Nathaniel Brennen, Edward Han, David Marc Rosen, Juliet Musabeyezu, Helia Safaee, Sudhir Ranganath et al. ""A prodrug-doped cellular Trojan Horse for the potential treatment of prostate cancer."" Biomaterials 91 (2016): 140-150.",55.0,https://www.sciencedirect.com/science/article/abs/pii/S0142961216300448,2016.0,6.0,"Center for Regenerative Therapeutics, Brigham and Women's Hospital,","42.33636357260229, -71.10723459707721",42.33636357,-71.1072346,63,107.22222222222221,1.0,1.0,1.0
