,titlePaper,citationChicago,citations,link,publishedYear,publishedMonth,locationStudy,gpsLat,gpsLong,monthsLapsed,radius,red,green,blue
0,Three-dimensional Bioprinting of Thick Vascularized Tissues,"Kolesky, David B., Kimberly A. Homan, Mark A. Skylar-Scott, and Jennifer A. Lewis. ""Three-dimensional bioprinting of thick vascularized tissues."" Proceedings of the national academy of sciences 113, no. 12 (2016): 3179-3184.",944,https://pubmed.ncbi.nlm.nih.gov/26951646/,2016,3,"Wyss Institute for Biologically Inspired Engineering, Harvard University, Cambridge",42.33969432,-71.10301259,68,1464.191176470588,0.0,0.0,0.0
12,Morphological Features of IFN-γ-stimulated Mesenchymal Stromal Cells Predict Overall Immunosuppressive Capacity,"Klinker, Matthew W., Ross A. Marklein, Jessica L. Lo Surdo, Cheng-Hong Wei, and Steven R. Bauer. ""Morphological features of IFN-γ–stimulated mesenchymal stromal cells predict overall immunosuppressive capacity."" Proceedings of the National Academy of Sciences 114, no. 13 (2017): E2598-E2607.",104,https://pubmed.ncbi.nlm.nih.gov/28283659/,2017,3,"US Food and Drug Administration, Silver Spring, MD",39.03589836,-76.98208347,56,89.375,1.0,1.0,1.0
15,Extracellular Vesicles as Emerging Targets in Cancer: Recent Development From Bench to Bedside,"Wu, Kerui, Fei Xing, Shih-Ying Wu, and Kounosuke Watabe. ""Extracellular vesicles as emerging targets in cancer: Recent development from bench to bedside."" Biochimica et Biophysica Acta (BBA)-Reviews on Cancer 1868, no. 2 (2017): 538-563.",89,https://pubmed.ncbi.nlm.nih.gov/29054476/,2017,12,"Wake Forest University School of Medicine, Winston Salem, NC",36.10086541,-80.23891347,47,5.0,0.099,0.099,0.099
17,Stem cell-inspired secretome-rich injectable hydrogel to repair injured cardiac tissue,"Waters, Renae, Perwez Alam, Settimio Pacelli, Aparna R. Chakravarti, Rafeeq PH Ahmed, and Arghya Paul. ""Stem cell-inspired secretome-rich injectable hydrogel to repair injured cardiac tissue."" Acta biomaterialia 69 (2018): 95-106.",85,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5831493/,2017,12,"University of Cincinnati, Cincinnati, OH",39.13303007,-84.51478947,47,5.0,0.057,0.057,0.057
16,Stem cell-inspired secretome-rich injectable hydrogel to repair injured cardiac tissue,"Waters, Renae, Perwez Alam, Settimio Pacelli, Aparna R. Chakravarti, Rafeeq PH Ahmed, and Arghya Paul. ""Stem cell-inspired secretome-rich injectable hydrogel to repair injured cardiac tissue."" Acta biomaterialia 69 (2018): 95-106.",85,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5831493/,2017,12,"University of Kansas, Lawrence, KS",38.95441063,-95.25538841,47,5.0,0.0,0.0,0.0
18,In Vivo Chondrogenesis in 3D Bioprinted Human Cell-laden Hydrogel Constructs,"Möller, Thomas, Matteo Amoroso, Daniel Hägg, Camilla Brantsing, Nicole Rotter, Peter Apelgren, Anders Lindahl, Lars Kölby, and Paul Gatenholm. ""In vivo chondrogenesis in 3D bioprinted human cell-laden hydrogel constructs."" Plastic and reconstructive surgery global open 5, no. 2 (2017).",82,https://pubmed.ncbi.nlm.nih.gov/28280669/,2017,2,"Chalmers University of Technology, Göteborg, Sweden",57.69000654,11.97583537,57,77.80701754385966,0.0,0.0,0.0
19,Self-Healing and Thermoresponsive Dual-Cross-Linked Alginate Hydrogels Based on Supramolecular Inclusion Complexes,"Miao, Tianxin, Spencer L. Fenn, Patrick N. Charron, and Rachael A. Oldinski. ""Self-healing and thermoresponsive dual-cross-linked alginate hydrogels based on supramolecular inclusion complexes."" Biomacromolecules 16, no. 12 (2015): 3740-3750.",79,https://pubmed.ncbi.nlm.nih.gov/26509214/,2015,10,"University of Vermont, Burlington, Vermont",44.47801354,-73.19652808,73,147.46575342465752,0.8992,0.8992,0.8992
20,Development and Characterization of a Naturally Derived Lung Extracellular Matrix Hydrogel,"Pouliot, Robert A., Patrick A. Link, Nabil S. Mikhaiel, Matthew B. Schneck, Michael S. Valentine, Franck J. Kamga Gninzeko, Joseph A. Herbert, Masahiro Sakagami, and Rebecca L. Heise. ""Development and characterization of a naturally derived lung extracellular matrix hydrogel."" Journal of biomedical materials research Part A 104, no. 8 (2016): 1922-1935.",78,https://pubmed.ncbi.nlm.nih.gov/27012815/,2016,4,"Virginia Commonwealth University, Richmond, Virginia",37.54837993,-77.45675749,67,122.91044776119404,0.9932,0.9932,0.9932
28,Substrate Stress-Relaxation Regulates Scaffold Remodeling and Bone Formation In Vivo,"Darnell, Max, Simon Young, Luo Gu, Nisarg Shah, Evi Lippens, James Weaver, Georg Duda, and David Mooney. ""Substrate stress‐relaxation regulates scaffold remodeling and bone formation in vivo."" Advanced healthcare materials 6, no. 1 (2017): 1601185.",78,https://pubmed.ncbi.nlm.nih.gov/27995768/,2017,1,"Berlin-Brandenburg Center for Regenerative Therapies, 13353, Berlin, Germany",52.54027297,13.34835895,58,79.91379310344827,0.9672,0.9672,0.9672
27,Substrate Stress-Relaxation Regulates Scaffold Remodeling and Bone Formation In Vivo,"Darnell, Max, Simon Young, Luo Gu, Nisarg Shah, Evi Lippens, James Weaver, Georg Duda, and David Mooney. ""Substrate stress‐relaxation regulates scaffold remodeling and bone formation in vivo."" Advanced healthcare materials 6, no. 1 (2017): 1601185.",78,https://pubmed.ncbi.nlm.nih.gov/27995768/,2017,1,"Harvard University, Cambridge, MA",42.37766832,-71.11249735,58,79.91379310344827,0.8892,0.8892,0.8892
